,source,target,final,participant,task_number,segment_count,task_type
43,"Spielberg shows Beijing red card over Darfur
In a gesture sure to rattle the Chinese Government, Steven Spielberg pulled out of the Beijing Olympics to protest against China's backing for Sudan's policy in Darfur. His withdrawal comes in the wake of fighting flaring up again in Darfur and is set to embarrass China, which has sought to halt the negative fallout from having close ties to the Sudanese government. China, which has extensive investments in the Sudanese oil industry, maintains close links with the Government, which includes one minister charged with crimes against humanity by the International Criminal Court in The Hague. Although emphasizing that Khartoum bears the bulk of the responsibility for these ongoing atrocities, Spielberg maintains that the international community, and particularly China, should do more to end the suffering.","स्पीलबर्ग दारफुर से अधिक बीजिंग लाल कार्ड से पता चलता है
एक इशारा यकीन है कि चीनी सरकार खड़खड़ में, स्टीवन स्पीलबर्ग बीजिंग ओलंपिक से बाहर खींच लिया Darfur में चीन सूडान पॉलिसी के लिए समर्थन के खिलाफ विरोध. उनकी वापसी Darfur में फिर से जगमगाता हुआ लड़ रहा है और चीन, जो सूडानी सरकार के साथ घनिष्ठ संबंध होने से नकारात्मक नतीजा को रोकने की मांग की है शर्मिंदा करने के लिए सेट के बाद में आता है. चीन, जो सूडानी तेल उद्योग में व्यापक निवेश की सरकार है, जो एक हेग में अंतरराष्ट्रीय अपराध न्यायालय द्वारा मानवता के विरुद्ध अपराधों के साथ आरोप लगाया मंत्री शामिल के साथ घनिष्ठ संबंध रखता है. हालांकि कि खार्तूम बल के चल रहे इन अत्याचारों के लिए जिम्मेदारी की थोक भालू, स्पीलबर्ग का कहना है कि अंतरराष्ट्रीय समुदाय और विशेष रूप से चीन, अधिक करने के लिए पीड़ा को समाप्त करना चाहिए.
","स्पीलबर्ग बीजिंग रेड कार्ड के संबंध में दकरफुर के बारे में कहते हैं
हाव- भाव़ जिससे निश्चित ही चीनी सरकार लडखडा गई़, स्टीवन स्पीलबर्ग को दारफुर में सूडान की नीति को चीन द्वारा समर्थन करने का विरोध करने के लिए बीजिंग ओलंपिक से निकाल लिया गया। उन्होंने दारफुर में फिर से जंग होने के कारण अपने को बाहर रखा और इससे चीन को परेशानी होने वाली है जिससे सूडान सरकार के साथ घविष्ठ संबंध होने के कारण नकारात्मक बिखराव के थमने की अपेक्षा थी। चीन, जिसने सूडानी तेल उद्योग में व्यापक निवेश किया हुआ है,  सूडानी सरकार के साथ घनिष्ठ संबंध रखता है, जिनमें हैग में अंतर्राष्ट्रीय आपराधिक न्यायालय द्वारा मानवता के खिलाफ आरोपित एक मंत्री भी शामिल है। हालांकि इस बात पर जोर देते हुए कि इन वर्तमान अत्याचारों के लिए अधिकांश जिम्मेदारी खार्तूम की है़, स्पीलबर्ग का कहना है कि अंतरराष्ट्रीय समुदाय और विशेष रूप से चीन, को इस पीड़ा को समाप्त करने के लिए अधिक करना चाहिए.
",P17,P3,5,P
44,"Although developing countries are understandably reluctant to compromise their chances of achieving better standards of living for the poor, action on climate change need not threaten economic development. Incentives must be offered to encourage developing countries to go the extra green mile and implement clean  technologies, and could also help minimise emissions from deforestation. Some of the most vulnerable countries of the world have contributed the least to climate change, but are bearing the brunt of it. Developing countries, in particular, need to adapt to the effects of climate change. Adaptation and mitigation efforts must therefore go hand in hand.",,"यद्यपि विकासशील देश बौद्धिक रूप से गरीबों के लिए उनकी मानक जीवन निर्वहन स्तर को हासिल करने के अवसर को समझ पाने में नाकाम रहे हैं, जबकि पर्यावरण बदलाव पर आवाज उठाने से अर्थव्यवस्था का विकास संभव नहीं है। अतिरिक्त ग्रीन और क्लीन टेक्नोलाजी के प्रोत्साहन के लिए विकासशील देशों को राहत पैकेज जरूर दिए जाने चाहिए ताकि निर्जंगलीकरण से होने वाले उनके नुकसान को कम किया जा सके। विश्व की कुछ बेहद नाजुक देशों ने पर्यावरण बदलाव पर कुछ योगदान किए हैं, लेकिन उनके जारी निर्गमन ने उनके योगदानों को नष्ट कर दिया है। विकासशील देशों को पर्यावरण बदलावों के प्रभावों को ग्रहण की जरूरत है। ग्रहणता और मिटीगेशन दोनों के प्रयास जरूरी है इसलिए इन्हें साथ-साथ लेकर चलना चाहिए।   
    ",P10,T4,5,T
45,"Families hit with increase in cost of living
British families have to cough up an extra £31,300 a year as food and fuel prices soar at their fastest rate in 17 years. Prices in supermarkets have climbed at an alarming rate over the past year. Analysts have warned that prices will increase further still, making it hard for the Bank of England to cut interest rates as it struggles to keep inflation and the economy under control. To make matters worse, escalating prices are racing ahead of salary increases, especially those of nurses and other healthcare professionals, who have suffered from the government's insistence that those in the public sector have to receive below-inflation salary increases. In addition to fuel and food, electricity bills are also soaring. Five out of the six largest suppliers have increased their customers' bills.",,"जीवनयापन के खर्च में वृद्धि से परिवार प्रभावित
ब्रिटिश परिवारों को इस वर्ष 31300 पाउंड अतिरिक्त खर्च करने पड़े क्योंकि खाद्य और ईंधन की कीमतें 17 में सबसे तेज दर से बढ़ीं। पिछले साल में सुपरमार्केट्स में कीमतें चौंकाने वाले दर से बढ़ीं हैं। विश्लेषकों ने चेतावनी दी है कि कीमतें और बढ़ेंगी, जिससे महंगाई और अर्थव्यवस्था पर नियंत्रण बनाने के लिए संघर्ष कर रहे बैंक ऑफ इंगलैंड के लिए ब्याज दर घटाना और कठिन हो गया है। कठिनाइयों में और वृद्धि करते हुए मूल्यवृद्धि वेतन में वृद्धि से  तेज हो रही है, खासकर नर्स और स्वास्थ्य सेवा से जुड़े अन्य पेशेवरों के लिए परेशानी है जो सार्वजनिक क्षेत्र के कामगारों को मूल्यवृद्धि से कम वेतनवृद्धि के सरकारी फैसले से प्रभावित हैं। खाद्य और ईंधन के अतिरिक्त बिजली की कीमतें भी बढ़ रही हैं। छह में से पांच बड़े आपूर्तिकर्ताओं ने अपने ग्राहकों के बिल में वृद्धि की है।  ",P18,T2,7,T
46,"Killer nurse receives four life sentences
Hospital nurse Colin Norris was imprisoned for life today for the killing of four of his patients. 32 year old Norris from Glasgow killed the four women in 2002 by giving them large amounts of sleeping medicine. Yesterday, he was found guilty of four counts of murder following a long trial. He was given four life sentences, one for each of the killings. He will have to serve at least 30 years. Police officer Chris Gregg said that Norris had been acting strangely around the hospital. Only the awareness of other hospital staff put a stop to him and to the killings. The police have learned that the motive for the killings was that Norris disliked working with old people. All of his victims were old weak women with heart problems. All of them could be considered a burden to hospital staff.","खूनी नर्स चार जीवन वाक्य प्राप्त
अस्पताल नर्स कॉलिन Norris जीवन के लिए कैद आज अपने मरीजों में से चार की हत्या के लिए. ग्लासगो से 32 वर्ष पुराना नॉरिस उन्हें दवा सोने की बड़ी मात्रा देकर 2002 में चार महिलाओं की हत्या कर दी. कल, वह एक लंबे परीक्षण के बाद हत्या के चार मामलों का दोषी पाया गया था. वह चार जीवन वाक्य, हत्याओं के प्रत्येक के लिए दिया गया था. वह कम से कम 30 साल की सेवा करना होगा. पुलिस अधिकारी क्रिस ग्रेग ने कहा कि Norris अस्पताल के आसपास किया गया था अजीब अभिनय. केवल अन्य अस्पताल के कर्मचारियों की जागरूकता उसे और हत्याओं के लिए एक बंद रखा. पुलिस सीखा है कि हत्याओं के लिए उद्देश्य था कि Norris पुराने लोगों के साथ काम कर नापसंद. अपने शिकार के दिल की समस्याओं के साथ पुराने कमजोर महिलाओं के थे. वे सब के सब अस्पताल के कर्मचारियों को एक बोझ माना जा सकता है.","खूनी नर्स को मिली चार उम्रकैद
अस्पताल नर्स कॉलिन नारिस को आज अपने मरीजों में से चार की हत्या के लिए आजीवन कैद मिली है. ग्लासगो से 32 वर्ष बूढी नॉरिस ने 2002 में चार महिलाओं को सोने की दवा की ज्यादा मात्रा देकर उनकी हत्या कर दी थी. कल, वह एक लंबे परीक्षण के बाद हत्या के चार मामलों की दोषी पायी गयी. उसे हर एक हत्या के लिये एक सजा दी गई। उसे कम से कम 30 साल की सेवा करनी होगी. पुलिस अधिकारी क्रिस ग्रेग ने कहा कि Norris ने अस्पताल के आसपास अजीब अभिनय किया गया था. केवल अन्य अस्पताल के कर्मचारियों की जागरूकता ने उसे और हत्या करने से रोका. पुलिस ने पता लगाया कि हत्याओं की वजह Norris का पुराने लोगों के साथ काम करना था वो यह नापसंद करती थी. उसके सारे शिकार दिल की समस्याओं से पिडित बूढी कमजोर महिलाएं थी. उन सभी अस्पताल के कर्मचारियों को एक बोझ माना जा सकता है.",P16,P1,9,P
47,"Although developing countries are understandably reluctant to compromise their chances of achieving better standards of living for the poor, action on climate change need not threaten economic development. Incentives must be offered to encourage developing countries to go the extra green mile and implement clean  technologies, and could also help minimise emissions from deforestation. Some of the most vulnerable countries of the world have contributed the least to climate change, but are bearing the brunt of it. Developing countries, in particular, need to adapt to the effects of climate change. Adaptation and mitigation efforts must therefore go hand in hand.",,"हालांकि विकास कर रही देश समझते हैं कि गरीबों के जीवन के स्तर को बहतर करने के लिए उनके मोकों के छोड़ने की आवश्यकता है, परिवेश के परिवर्तन की क्रिया से आर्थिक विकास को दरने की आवश्यकता नहीं है. विकास कर रहे देशों को अतिरिक्त कार्य करने और अच्छी तकनीक कार्यान्वित करने हेतु प्रोत्साहित करने के लिए प्रोत्साहन राशियां प्रदान की जानी चाहिए, और जोकि डिफ़्रोटेशन से इमेंशन को कम करने में भी मदद कर सकता है. दुनिया के कुछ सबसे महत्वपूर्व देश ने परिवेश परिवर्तन में सबसे कम योगदान किया है, लेकिन उसका भार उठा रहे हैं. विशेष रूप से, विकास कर रहे देशों को परिवेश परिवर्तन के प्रभाव को धारण करने की आवश्यकता है. धारण करके की प्रक्रिया और मिटिगेशन के प्रभावों को साथ-साथ चलना चाहिए. ",P11,T4,5,T
48,"Families hit with increase in cost of living
British families have to cough up an extra £31,300 a year as food and fuel prices soar at their fastest rate in 17 years. Prices in supermarkets have climbed at an alarming rate over the past year. Analysts have warned that prices will increase further still, making it hard for the Bank of England to cut interest rates as it struggles to keep inflation and the economy under control. To make matters worse, escalating prices are racing ahead of salary increases, especially those of nurses and other healthcare professionals, who have suffered from the government's insistence that those in the public sector have to receive below-inflation salary increases. In addition to fuel and food, electricity bills are also soaring. Five out of the six largest suppliers have increased their customers' bills.","परिवार जीवन के मूल्य में वृद्धि के साथ प्रहार करते हैं |अंग्रेज परिवार है काउघ ऊपर अतिरिक्त इक वर्ष जैसे खाना और ईंधन कीमत ऊँचा चढ़ पर उनका तेज दर में 17 साल |सुपेर्मार्केत्स में कीमतें भूतकाल से ऊपर एक सचेत करनेवाले मूल्य पर वर्ष चढ़ीं हैं |विश्लेषकों ने चेतावनी दी है कि कीमतें ब्याज के मूल्य काटने के लिये आगे अभी भी इंग्लैण्ड के बान्क के लिये कठोर यह बनाने बढ़ाएँगी क्योंकि यह स्फीति और अर्थव्यवस्था नियंत्रण में रखना आगे बढ़ता है|To make matters worse, escalating prices are racing ahead of salary increases, especially those of nurses and other healthcare professionals, who have suffered from the government's insistence that those in the public sector have to receive below-inflation salary increases. के सहित ईंधन और खाना बिजली बिल हैं भी ऊँची उड़ान | छः सबसे बड़े संभरकों में से पाँंच में बढ़े हुए उनके खरीदारों के बिल हैं |","परिवारों पर जीवनशैली में मूल्य वृद्धि का प्रहार|
अंग्रेज़ परिवारों को 31,300 पाउंड प्रति वर्ष अतिरिक्त कमाने होंगे क्योंकि खाने और ईंधन की कीमतें 17 साल में अपनी सबसे ऊँची दर पर हैं। पिछले वर्ष में सुपरमार्केट्स में कीमतें तेज़ी से बढ़ी हैं। विश्लेषकों ने चेतावनी दी है कि कीमतें और बढ़ेंगी, जिससे इंग्लैण्ड बैंक के लिए ब्याज दरों को कम करना मुश्किल होगा क्योंकि वह मुद्रकस्फीति और अर्थव्यवस्था के नियंत्रित करने से जूझ रही है। इसे और बिगीड़ने वाली बात यह है कि, बढ़ती क़ीमतें वेतन वृद्धि से भी बहुत आगे हैं, विशेष रूप से नर्सों और अन्य चिकित्सकीय पेशेवरों के वेतन के, जिन्हें सरकार के इस तर्क का शिकार होना पड़ा है कि सार्वजनिक क्षेत्र के लोगों को स्फीति से कम वेतन वृद्धि मिल रही है. ईंधन और खाने के अलावा, बिजली बिल भी ऊँची उड़ान भर रहे हैं। छः सबसे बड़े प्रदाताओं में से पाँच ने अपने ग्राहकों के बिल बढ़ा दिए हैं।",P05,P2,7,P
49,"Spielberg shows Beijing red card over Darfur
In a gesture sure to rattle the Chinese Government, Steven Spielberg pulled out of the Beijing Olympics to protest against China's backing for Sudan's policy in Darfur. His withdrawal comes in the wake of fighting flaring up again in Darfur and is set to embarrass China, which has sought to halt the negative fallout from having close ties to the Sudanese government. China, which has extensive investments in the Sudanese oil industry, maintains close links with the Government, which includes one minister charged with crimes against humanity by the International Criminal Court in The Hague. Although emphasizing that Khartoum bears the bulk of the responsibility for these ongoing atrocities, Spielberg maintains that the international community, and particularly China, should do more to end the suffering.","स्पीलबर्ग दारफुर से अधिक बीजिंग लाल कार्ड से पता चलता है
एक इशारा यकीन है कि चीनी सरकार खड़खड़ में, स्टीवन स्पीलबर्ग बीजिंग ओलंपिक से बाहर खींच लिया Darfur में चीन सूडान पॉलिसी के लिए समर्थन के खिलाफ विरोध. उनकी वापसी Darfur में फिर से जगमगाता हुआ लड़ रहा है और चीन, जो सूडानी सरकार के साथ घनिष्ठ संबंध होने से नकारात्मक नतीजा को रोकने की मांग की है शर्मिंदा करने के लिए सेट के बाद में आता है. चीन, जो सूडानी तेल उद्योग में व्यापक निवेश की सरकार है, जो एक हेग में अंतरराष्ट्रीय अपराध न्यायालय द्वारा मानवता के विरुद्ध अपराधों के साथ आरोप लगाया मंत्री शामिल के साथ घनिष्ठ संबंध रखता है. हालांकि कि खार्तूम बल के चल रहे इन अत्याचारों के लिए जिम्मेदारी की थोक भालू, स्पीलबर्ग का कहना है कि अंतरराष्ट्रीय समुदाय और विशेष रूप से चीन, अधिक करने के लिए पीड़ा को समाप्त करना चाहिए.
","स्पीलबर्ग ने दारफुर के खिलाफ बीजिंग को लाल कार्ड दिखाया
चीनी सरकार को प्रतीकात्मक विरोध दर्ज कराने के लिए, डारफुर में सूडान की नीति को चीनी समर्थन के खिलाफ विरोध जताते हुए, स्टीवन स्पीलबर्ग ने बीजिंग ओलंपिक से स्वयं को अलग कर लिया. उनके अलग होने से डारफुर में संघर्ष का परचम बुलंद हुआ और  चीन के लिए शर्मिंदगी का विषय बना, जिसकी मांग है कि सूडानी सरकार के साथ घनिष्ठ संबंधों में नकारात्मक परिणाम आने से बचा जाए. चीन, जिसका सूडानी तेल उद्योग में व्यापक निवेश है, उस सरकार के साथ घनिष्ठ संबंध रखता है, जिसमें हेग स्थित अंतरराष्ट्रीय अपराध न्यायालय द्वारा मानवता के विरुद्ध अपराधों में आरोपित मंत्री शामिल है. इस बात पर जोर देते हुए कि हो रहे अत्याचारों के लिए खार्तूम अधिक जिम्मेदार है, स्पीलबर्ग ने समस्या समाप्त करने के लिए, अंतर्राष्ट्रीय समुदाय और विशेष रूप से चीन से और अधिक प्रयास किए जाने की अपील की.
",P01,P3,5,P
50,"Families hit with increase in cost of living
British families have to cough up an extra £31,300 a year as food and fuel prices soar at their fastest rate in 17 years. Prices in supermarkets have climbed at an alarming rate over the past year. Analysts have warned that prices will increase further still, making it hard for the Bank of England to cut interest rates as it struggles to keep inflation and the economy under control. To make matters worse, escalating prices are racing ahead of salary increases, especially those of nurses and other healthcare professionals, who have suffered from the government's insistence that those in the public sector have to receive below-inflation salary increases. In addition to fuel and food, electricity bills are also soaring. Five out of the six largest suppliers have increased their customers' bills.","परिवार जीवन के मूल्य में वृद्धि के साथ प्रहार करते हैं |अंग्रेज परिवार है काउघ ऊपर अतिरिक्त इक वर्ष जैसे खाना और ईंधन कीमत ऊँचा चढ़ पर उनका तेज दर में 17 साल |सुपेर्मार्केत्स में कीमतें भूतकाल से ऊपर एक सचेत करनेवाले मूल्य पर वर्ष चढ़ीं हैं |विश्लेषकों ने चेतावनी दी है कि कीमतें ब्याज के मूल्य काटने के लिये आगे अभी भी इंग्लैण्ड के बान्क के लिये कठोर यह बनाने बढ़ाएँगी क्योंकि यह स्फीति और अर्थव्यवस्था नियंत्रण में रखना आगे बढ़ता है|To make matters worse, escalating prices are racing ahead of salary increases, especially those of nurses and other healthcare professionals, who have suffered from the government's insistence that those in the public sector have to receive below-inflation salary increases. के सहित ईंधन और खाना बिजली बिल हैं भी ऊँची उड़ान | छः सबसे बड़े संभरकों में से पाँंच में बढ़े हुए उनके खरीदारों के बिल हैं |","जीने के खर्चे में हो रही वृद्धि से मुश्किल में परिवार
पिछले 17 वर्षों में सबसे तेजी से बढ़ी भोजन और ईंधन की कीमतों की वजह से ब्रितानी परिवारों को सालाना 31,300 पाउंड अधिक खर्च करना पड़ रहा है. पिछले एक साल के दौरान सुपरमार्केट्स में कीमतें बहुत तेजी से बढ़ीं हैं. विश्लेषकों ने चेतावनी दी है कि कीमतें अभी आगे और भी बढ़ेंगीं, जिससे बैंक ऑफ इंग्लैंड को ब्याज दर घटाने में मुश्किल हो रही है क्योंकि यह खुद मुद्रास्फीति और अर्थव्यवस्था पर नियंत्रण रखने में जूझ रहा है. वेतन वृद्धि से पहले बढ़ती कीमतों ने परिस्थितियों को और भी खराब कर दिया है, खासकर नर्सों और स्वास्थ्य क्षेत्र के दूसरे पेशेवरों के लिए, जो सरकार के उस कदम से सबसे ज्यादा प्रभावित हुए हैं जहां कहा गया है कि सरकारी क्षेत्र में मुद्रा-स्फीति से कम वेतन वृद्धि होगी.  ईंधन और भोजन के साथ-साथ बिजली बिल भी काफी बढ़ रहे हैं. छह में से पांच सबसे बड़े आपूर्तिकर्ताओं ने अपने ग्राहकों के बिल बढ़ा दिए हैं.",P21,P2,7,P
51,"Although developing countries are understandably reluctant to compromise their chances of achieving better standards of living for the poor, action on climate change need not threaten economic development. Incentives must be offered to encourage developing countries to go the extra green mile and implement clean  technologies, and could also help minimise emissions from deforestation. Some of the most vulnerable countries of the world have contributed the least to climate change, but are bearing the brunt of it. Developing countries, in particular, need to adapt to the effects of climate change. Adaptation and mitigation efforts must therefore go hand in hand.","यद्यपि विकासशील देश निर्धन के लिये जीवन के अच्छे आदर्श प्राप्त करने का उनके अवसर समझौता करने के लिये बोधगम्यता से अनिच्छुक हैं , जलवायु के परिवर्तन पर कार्यवाही को आर्थिक विकास को धमकी देने की आवश्यक्ता नहीं है| प्रोत्साहन चाहिए हो प्रस्तावित तक प्रोत्साहित कर विकासशील देश तक जा अतिरिक्त हरा मील और औजार शुद्ध प्रौद्योगिकी और सका भी सहायता न्यूनतम कर उत्सर्जन से वनकटाई |दुनिया के कुछ अधिकांश असुरक्षित देशों ने जलवायु के न्यूमतम को परिवर्तन करते हुए सहयोग दिया है लेकिन इसका धक्का रख रहे हैं |विस्तृत विवरण में विकासशील देश , जलवायु के प्रभाव को अनुकूल बनाने के लिये आवश्यकता परिवर्तित होते हैं |अनुकूलन और अल्पीकरण के प्रयासों को हाथ में हाथ दिए हुए साथ अतः जाना चाहिये |","यद्यपि विकासशील देश निर्धन लोगों के लिये जीवन के अच्छे आदर्श प्राप्त करने में उनके अवसर से समझौता करने के लिये बोधगम्यता से अनिच्छुक हैं, जलवायु परिवर्तन पर कार्यवाही को आर्थिक विकास के लिए चुनौती नहीं मानना चाहिए। अधिक हरियाली क्षेत्रों को बढ़ाने तथा स्वच्छ तकनीकें लागू करने हेतु विकासशील देशों को प्रोत्साहित करने के लिए प्रोत्साहन दिया जाना चाहिए और डिफोरेस्टेशन से एमिसन कम करने मे सहायता भी करना चाहिए। दुनिया के कुछ अधिकांश असुरक्षित देशों ने जलवायु के न्यूमतम को परिवर्तन करने में सहयोग दिया है, लेकिन इसके नुकसान का सामना रख रहे हैं। विशेष रूप से, विकासशील देशों के जलवायु परिवर्तन के प्रभावों को अनुकूल बनाने की आवश्यकता होती है। इसलिए अनुकूलन और अल्पीकरण के प्रयास सभी तक पहुंचना चाहिए।",P03,P4,5,P
52,"Families hit with increase in cost of living
British families have to cough up an extra £31,300 a year as food and fuel prices soar at their fastest rate in 17 years. Prices in supermarkets have climbed at an alarming rate over the past year. Analysts have warned that prices will increase further still, making it hard for the Bank of England to cut interest rates as it struggles to keep inflation and the economy under control. To make matters worse, escalating prices are racing ahead of salary increases, especially those of nurses and other healthcare professionals, who have suffered from the government's insistence that those in the public sector have to receive below-inflation salary increases. In addition to fuel and food, electricity bills are also soaring. Five out of the six largest suppliers have increased their customers' bills.",,"बढ़ती महंगाई ने लोगों का जीना मुहाल किया

ब्रिटेन में रह रहे परिवारों को खाने और ईंधन की कीमतों में 31300 मुद्रा अतिरिक्त खर्च करनी पड़ रही है. ये पिछले 17 वर्षों में सर्वाधिक दर है. पिछले साल सुपर मार्केट में महंगाई की दर आसमान छू रही थी. जानकारों ने कीमतों में और वृद्दि होने की चेतावनी दी है. महंगाई दर को काबू में रखने और अर्थव्यवस्था को स्थिर रखने के लिए बैंक आफ इंग्लैंड ब्याज दरों में कटौती कर सकता है. बढ़ती महंगाई दर से बढ़े वेतन में भी असर पड़ रहा है. सबसे खराब हालत नर्स और स्वास्थ्य क्षेत्र के कर्मचारियों की है जिनको बढ़ती महंगाई के मुकाबले बेहद कम
वेतन मिल रहा है . खाद्य और ईंधन के अलावा, बिजली का बिल भी बढ़ गया है. 6 बिजली कंपनियों में से 5 ने
अपने ग्राहकों के बिजली बिल को बढ़ा दिया है. ",P20,T2,7,T
53,"Spielberg shows Beijing red card over Darfur
In a gesture sure to rattle the Chinese Government, Steven Spielberg pulled out of the Beijing Olympics to protest against China's backing for Sudan's policy in Darfur. His withdrawal comes in the wake of fighting flaring up again in Darfur and is set to embarrass China, which has sought to halt the negative fallout from having close ties to the Sudanese government. China, which has extensive investments in the Sudanese oil industry, maintains close links with the Government, which includes one minister charged with crimes against humanity by the International Criminal Court in The Hague. Although emphasizing that Khartoum bears the bulk of the responsibility for these ongoing atrocities, Spielberg maintains that the international community, and particularly China, should do more to end the suffering.",,"स्पीलबर्ग ने बीजींग के ऊपर डार्फ़ुर को चुना
डार्फ़ुर में चीन द्वारा सुडान की नीति का समर्थन करने का विरोध करने के लिए, निश्चित तौर पर चीनी सरकार को अपनी इच्छा जताने की कोशिश के रूप में,  स्टीवन स्पीलबर्ग ने स्वयं को बीजींग ऑलंपिक से बाहर किया। उन्होंने अपना नाम डार्फ़ुर में फिर से हो रहे दंगे के कारण वापस लिया और इससे उनका इरादा चीन को शर्मिंदा करना था, जिसके कारण सुडानी सरकार के साथ चीन का करीबी संबंध का नकारात्मक रूप से टूटते-टूटते रह गया। चीन,  जिसका सुडानी तेल उद्योग में बहुत व्यापक निवेश है, ने सरकार के साथ करीबी संबंध बनाए रखा, जिसमें एक मंत्री को हैग के इंटरनेशनल क्रिमिनल कॉर्ट द्वारा मानवता के विरुद्ध जुर्म का आरोपी माना गया। यद्यपि, इस बात पर ज़ोर देते हुए कि चल रहे इन एट्रॉसिटी के लिए खारतोम को सबसे ज्यादा ज़िम्मेदार माना जाता है, स्पीलबर्ग अपने बात पर कायम रहे कि अंतर्राष्ट्रीय समुदाय और विशेष रूप से चीन को इन अफ़सोसजनक स्थितियों को रोकने के लिए कुछ ज्यादा करना चाहिए। ",P13,T3,5,T
54,"Sociology is a relatively new academic discipline. It emerged in the early 19th century in response to the challenges of modernity. Increasing mobility and technological advances resulted in the increasing exposure of people to cultures and societies different from their own. The impact of this exposure was varied, but for some people included the breakdown of traditional norms and customs and warranted a revised understanding of how the world works. Sociologists responded to these changes by trying to understand what holds social groups together and also exploring possible solutions to the breakdown of social solidarity. The term sociology was coined by Auguste Comte (1798-1857) in 1838 from the Latin term socius (companion, associate) and the Greek term logia (study of, speech).","समाजशास्त्र के एक अपेक्षाकृत नया शैक्षिक अनुशासन है. यह आधुनिकता की चुनौतियों के जवाब में जल्दी 19 वीं सदी में उभरा. बढ़ती गतिशीलता और प्रौद्योगिकीय अग्रिमों के लोगों की बढ़ती संस्कृति और समाज अपने से अलग करने के लिए जोखिम में हुई. इस जोखिम के प्रभाव विविध, लेकिन कुछ लोगों के लिए पारंपरिक मानदंडों और सीमा शुल्क के टूटने शामिल है और कैसे काम करता है दुनिया की एक संशोधित समझ warranted है. समाजशास्त्रियों को समझने के लिए क्या सामाजिक समूहों को एक साथ धारण और भी सामाजिक एकजुटता के टूटने के लिए संभव समाधान की खोज करने की कोशिश कर रहा द्वारा इन परिवर्तनों को जवाब दिया. अवधि समाजशास्त्र अगस्टे Comte (1798-1857) द्वारा 1838 में लैटिन शब्द (साथी, सहयोगी) socius के और ग्रीक शब्द logia (अध्ययन की, भाषण) से गढ़ा गया था.","समाजशास्त्र एक अपेक्षाकृत नया शैक्षिक अनुशासन है. यह आधुनिकता की चुनौतियों को हल करने के लिए 19 वीं सदी के प्रारंभ में बना. बढ़ती गतिशीलता और तकनीकी उन्नत के कारण लोगों में अपनी संस्कृति और समाज के अलावा भिन्न लोगों की संस्कृति और समाज की जानकारी में भी वृद्धि हुई. इसका प्रभाव अलग-अलग हुआ था, लेकिन कुछ लोग के लिए पारंपरिक मानदंडों और सीमा के विभाजन में शामिल हैं और दुनिया के कार्य करने के संशोधित तरिक समझने की पुष्टि की है. समाजशास्त्रियों के यह समढने की कोशिश करते हुए कि सामाजिक समूहों को कौन एक साथ रखता है, इस परिवर्तनों पर प्रतिसाद दिया है सामाजिक एकजुटता के टूटने के लिए संभव समाधान की खोज करने की कोशिश कर रहे है. समाजशास्त्र शब्द अगस्टे कॉमटे (1798-1857) द्वारा 1838 में लैटिन शब्द (साथी, सहयोगी) socius के और ग्रीक शब्द logia (अध्ययन की, भाषण) से लिया गया था.",P11,P5,6,P
